 0.79 0.71 0.71 1.00
 0.83 0.74 0.67 1.10
 0.88 0.77 0.63 1.22
 0.93 0.80 0.60 1.35
 0.98 0.83 0.56 1.50
 1.03 0.86 0.51 1.67
 1.08 0.88 0.47 1.87
 1.13 0.90 0.43 2.11
 1.18 0.92 0.38 2.41
 1.23 0.94 0.34 2.79
 1.28 0.96 0.29 3.30
 1.33 0.97 0.24 3.99
 1.37 0.98 0.20 5.03
 1.42 0.99 0.15 6.74
 1.47 1.00 0.1010.15
 1.52 1.00 0.0520.36
 1.57 1.00-0.00*****
 1.62 1.00-0.05*****
 1.67 1.00-0.10*****
 1.72 0.99-0.15-6.74
 1.77 0.98-0.20-5.03
 1.82 0.97-0.24-3.99
 1.87 0.96-0.29-3.30
 1.91 0.94-0.34-2.79
 1.96 0.92-0.38-2.41
 2.01 0.90-0.43-2.11
 2.06 0.88-0.47-1.87
 2.11 0.86-0.51-1.67
 2.16 0.83-0.56-1.50
 2.21 0.80-0.60-1.35
 2.26 0.77-0.63-1.22
 2.31 0.74-0.67-1.10
 2.36 0.71-0.71-1.00
